Latitude 3450,3XMPPB4
Latitude 3450,JTGSPB4 
Latitude 3450,9PKSPB4
 HP Pro Tower 400 G9 PCI Desktop PC,4CE425CCX1
 HP Pro Tower 400 G9 PCI Desktop PC,4CE425CCX8
 HP Pro Tower 400 G9 PCI Desktop PC,4CE425CKN0
 HP Pro Tower 400 G9 PCI Desktop PC,4CE425CKP2
HP P204V,3CQ41608RT
HP P204V,3CQ41805TJ
HP P204V,3CQ41608TQ
HP P204V,3CQ41608SZ
Samsung Galaxy Tab S10 FE,3.56E+14
Samsung Galaxy Tab S10 FE,3.56E+14
Postek printer,I1624C0018
Postek printer,I1621C0029
HPE Aruba Networking AP-535 (RW),"VNL6K9W44L
 CNJ6K9W4T4
 VNK9K9W0L3
 VNL5K9W046
 CNJ6K9W4RY
 VNKTK9W0ZG"
Aruba 6100 48G CL4 ,"CN31KND6NV
 CN31KND6ZT"
HPE Aruba Compatible,"F2140055315
F2140055314"
FortiGate-60F Firewall,FGT60FTK24032195
Máy in Brother MFC-L5710DN ,E81752C4N220073 
Zebra Scanner DS2278 ,"S25151523700803 
S25142523704262 
S25151523700819 
S25142523704260 
S25151523700859 
S25142523704190 
S25151523700789 
S25142523704258 "
Zebra Mobile Computer TC22 ,"S25199524701778 
S25199524701876 
PWR-WUA5V12W0US 250755684 
PWR-WUA5V12W0US 250755628 "
